Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5203152,-,b'Iloilo',b'Philippines',10.7,122.57,8,5,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity
2016,1,1,0,0,0,0,0,26.3,5,92.54
2016,1,1,1,0,0,0,0,26.200000000000003,5.1000000000000005,92.46000000000001
2016,1,1,2,0,0,0,0,26.1,5.1000000000000005,92.55
2016,1,1,3,0,0,0,0,26.1,5.2,92.43
2016,1,1,4,0,0,0,0,26.1,5.300000000000001,92.45
2016,1,1,5,0,0,0,0,26.1,5.4,92.54
2016,1,1,6,0,0,0,0,26.3,5.7,92.03
2016,1,1,7,0,126,285,73,27,6.2,89.66
2016,1,1,8,0,371,750,68,27.8,5.2,84.12
2016,1,1,9,0,313,81,265,29,5.5,76.22
2016,1,1,10,0,539,263,349,29.8,5.6000000000000005,71.79
2016,1,1,11,0,839,905,107,30.3,5.5,69.39
2016,1,1,12,0,868,913,110,30.6,5.5,67.77
2016,1,1,13,0,823,898,111,30.700000000000003,5.5,66.76
2016,1,1,14,0,706,859,108,30.5,5.4,66.52
2016,1,1,15,0,529,786,99,30.1,5.5,66.75
2016,1,1,16,0,311,646,82,29.3,5.300000000000001,68.66
2016,1,1,17,0,90,329,45,28.1,4.7,73.71000000000001
2016,1,1,18,0,0,0,0,27.200000000000003,4.3,78.66
2016,1,1,19,0,0,0,0,26.700000000000003,4.1000000000000005,82.42
2016,1,1,20,0,0,0,0,26.400000000000002,3.9000000000000004,85.43
2016,1,1,21,0,0,0,0,26.200000000000003,3.8000000000000003,87.82000000000001
2016,1,1,22,0,0,0,0,25.900000000000002,3.9000000000000004,90.22
2016,1,1,23,0,0,0,0,25.700000000000003,4.2,91.45
2016,1,2,0,0,0,0,0,25.5,4.3,92.47
2016,1,2,1,0,0,0,0,25.3,4.3,93.29
2016,1,2,2,0,0,0,0,25.1,4.4,93.94
2016,1,2,3,0,0,0,0,25,4.5,94.01
2016,1,2,4,0,0,0,0,24.8,4.5,94.72
2016,1,2,5,0,0,0,0,24.6,4.4,95.25
2016,1,2,6,0,0,0,0,25,4.4,92.71000000000001
2016,1,2,7,0,144,480,54,26.400000000000002,5.1000000000000005,84.44
2016,1,2,8,0,375,722,84,27.6,5.6000000000000005,76.19
2016,1,2,9,0,585,825,102,28.700000000000003,5.7,70.18
2016,1,2,10,0,748,876,114,29.6,5.6000000000000005,66.4
2016,1,2,11,0,851,910,116,30.200000000000003,5.5,64.25
2016,1,2,12,0,881,918,117,30.5,5.300000000000001,63.42
