energy_kwh,irradiance,sun_height,temperature,wind_speed,intensity,datetime,humidity,ghi,hour,day_of_week,month,season
0.0,0.0,0.0,2.88,1.31,0.0,2020-01-01 00:00:00,63.83,0.0,0,2,1,0
0.0,0.0,0.0,2.03,1.45,0.0,2020-01-01 01:00:00,67.62,0.0,1,2,1,0
0.0,0.0,0.0,1.48,1.45,0.0,2020-01-01 02:00:00,71.66,0.0,2,2,1,0
0.0,0.0,0.0,1.04,1.52,0.0,2020-01-01 03:00:00,76.28,0.0,3,2,1,0
0.0,0.0,0.0,0.69,1.52,0.0,2020-01-01 04:00:00,80.38,0.0,4,2,1,0
0.0,0.0,0.0,0.37,1.52,0.0,2020-01-01 05:00:00,82.71,0.0,5,2,1,0
0.0,0.0,0.0,0.15,1.52,0.0,2020-01-01 06:00:00,83.8,0.0,6,2,1,0
0.0,0.0,0.0,-1.63,1.24,0.0,2020-01-01 07:00:00,82.99,0.0,7,2,1,0
0.07944,107.08,4.35,-1.55,1.17,0.0,2020-01-01 08:00:00,76.68,100.72,8,2,1,0
0.43699,508.75,12.99,0.98,0.55,0.0,2020-01-01 09:00:00,67.98,243.02,9,2,1,0
0.58975,709.53,19.95,4.6,0.34,0.0,2020-01-01 10:00:00,60.18,367.42,10,2,1,0
0.68638,850.38,24.65,7.32,0.48,0.0,2020-01-01 11:00:00,59.02,438.17,11,2,1,0
0.72876,917.86,26.56,9.26,0.62,0.0,2020-01-01 12:00:00,57.04,458.77,12,2,1,0
0.71004,894.07,25.44,10.61,0.76,0.0,2020-01-01 13:00:00,54.25,414.52,13,2,1,0
0.57448,708.12,21.44,11.38,0.83,0.0,2020-01-01 14:00:00,55.24,313.92,14,2,1,0
0.44026,536.23,15.03,11.54,0.83,0.0,2020-01-01 15:00:00,67.97,179.93,15,2,1,0
0.1566,200.91,6.78,10.76,1.17,0.0,2020-01-01 16:00:00,65.52,36.75,16,2,1,0
0.0,0.0,0.0,9.16,1.38,0.0,2020-01-01 17:00:00,64.7,0.0,17,2,1,0
0.0,0.0,0.0,8.52,0.69,0.0,2020-01-01 18:00:00,65.24,0.0,18,2,1,0
0.0,0.0,0.0,7.2,0.14,0.0,2020-01-01 19:00:00,65.5,0.0,19,2,1,0
0.0,0.0,0.0,6.36,0.62,0.0,2020-01-01 20:00:00,66.4,0.0,20,2,1,0
0.0,0.0,0.0,3.89,1.24,0.0,2020-01-01 21:00:00,68.7,0.0,21,2,1,0
0.0,0.0,0.0,2.12,1.52,0.0,2020-01-01 22:00:00,72.18,0.0,22,2,1,0
