energy_kwh,irradiance,sun_height,temperature,wind_speed,intensity,datetime
0.0,0.0,0.0,2.88,1.31,0.0,2020-01-01 00:00:00
0.0,0.0,0.0,2.03,1.45,0.0,2020-01-01 01:00:00
0.0,0.0,0.0,1.48,1.45,0.0,2020-01-01 02:00:00
0.0,0.0,0.0,1.04,1.52,0.0,2020-01-01 03:00:00
0.0,0.0,0.0,0.69,1.52,0.0,2020-01-01 04:00:00
0.0,0.0,0.0,0.37,1.52,0.0,2020-01-01 05:00:00
0.0,0.0,0.0,0.15,1.52,0.0,2020-01-01 06:00:00
0.0,0.0,0.0,-1.63,1.24,0.0,2020-01-01 07:00:00
0.07944,107.08,4.35,-1.55,1.17,0.0,2020-01-01 08:00:00
0.43699,508.75,12.99,0.98,0.55,0.0,2020-01-01 09:00:00
0.58975,709.53,19.95,4.6,0.34,0.0,2020-01-01 10:00:00
0.68638,850.38,24.65,7.32,0.48,0.0,2020-01-01 11:00:00
0.72876,917.86,26.56,9.26,0.62,0.0,2020-01-01 12:00:00
0.71004,894.07,25.44,10.61,0.76,0.0,2020-01-01 13:00:00
0.57448,708.12,21.44,11.38,0.83,0.0,2020-01-01 14:00:00
0.44026,536.23,15.03,11.54,0.83,0.0,2020-01-01 15:00:00
0.1566,200.91,6.78,10.76,1.17,0.0,2020-01-01 16:00:00
0.0,0.0,0.0,9.16,1.38,0.0,2020-01-01 17:00:00
0.0,0.0,0.0,8.52,0.69,0.0,2020-01-01 18:00:00
0.0,0.0,0.0,7.2,0.14,0.0,2020-01-01 19:00:00
0.0,0.0,0.0,6.36,0.62,0.0,2020-01-01 20:00:00
0.0,0.0,0.0,3.89,1.24,0.0,2020-01-01 21:00:00
0.0,0.0,0.0,2.12,1.52,0.0,2020-01-01 22:00:00
0.0,0.0,0.0,1.44,1.52,0.0,2020-01-01 23:00:00
0.0,0.0,0.0,1.08,1.52,0.0,2020-01-02 00:00:00
0.0,0.0,0.0,0.7,1.52,0.0,2020-01-02 01:00:00
0.0,0.0,0.0,0.59,1.45,0.0,2020-01-02 02:00:00
0.0,0.0,0.0,0.5,1.45,0.0,2020-01-02 03:00:00
0.0,0.0,0.0,0.5,1.38,0.0,2020-01-02 04:00:00
0.0,0.0,0.0,0.53,1.38,0.0,2020-01-02 05:00:00
0.0,0.0,0.0,0.58,1.38,0.0,2020-01-02 06:00:00
0.0,0.0,0.0,0.5,1.1,0.0,2020-01-02 07:00:00
0.14971,188.95,4.34,0.33,1.03,0.0,2020-01-02 08:00:00
0.43725,510.08,13.0,1.61,0.62,0.0,2020-01-02 09:00:00
0.58723,702.35,19.98,3.87,0.41,0.0,2020-01-02 10:00:00
0.69651,857.42,24.7,5.91,0.48,0.0,2020-01-02 11:00:00
0.72582,904.42,26.65,7.51,0.62,0.0,2020-01-02 12:00:00
0.6910700000000001,857.12,25.55,8.58,0.76,0.0,2020-01-02 13:00:00
0.58805,717.04,21.56,9.25,0.9,0.0,2020-01-02 14:00:00
0.44762,538.96,15.15,9.34,0.9,0.0,2020-01-02 15:00:00
0.23498,291.26,6.91,8.73,0.97,0.0,2020-01-02 16:00:00
0.0,0.0,0.0,7.5,0.83,0.0,2020-01-02 17:00:00
0.0,0.0,0.0,6.7,0.34,0.0,2020-01-02 18:00:00
0.0,0.0,0.0,6.42,0.41,0.0,2020-01-02 19:00:00
0.0,0.0,0.0,4.98,0.97,0.0,2020-01-02 20:00:00
0.0,0.0,0.0,2.69,1.38,0.0,2020-01-02 21:00:00
0.0,0.0,0.0,1.91,1.45,0.0,2020-01-02 22:00:00
0.0,0.0,0.0,1.6,1.38,0.0,2020-01-02 23:00:00
0.0,0.0,0.0,1.25,1.38,0.0,2020-01-03 00:00:00
0.0,0.0,0.0,0.89,1.38,0.0,2020-01-03 01:00:00
0.0,0.0,0.0,0.76,1.31,0.0,2020-01-03 02:00:00
0.0,0.0,0.0,1.04,1.17,0.0,2020-01-03 03:00:00
0.0,0.0,0.0,1.87,0.9,0.0,2020-01-03 04:00:00
0.0,0.0,0.0,2.08,0.69,0.0,2020-01-03 05:00:00
0.0,0.0,0.0,1.81,0.62,0.0,2020-01-03 06:00:00
0.0,0.0,0.0,-0.07,1.1,0.0,2020-01-03 07:00:00
0.01814,33.77,4.34,-0.25,1.1,0.0,2020-01-03 08:00:00
0.07683,102.31,13.02,1.2,0.62,0.0,2020-01-03 09:00:00
0.09290999999999999,121.9,20.02,3.9,0.41,0.0,2020-01-03 10:00:00
0.34885000000000005,413.28,24.77,5.92,0.55,0.0,2020-01-03 11:00:00
0.08767,117.74,26.74,7.4,0.62,0.0,2020-01-03 12:00:00
0.20915999999999998,256.11,25.66,8.44,0.69,0.0,2020-01-03 13:00:00
0.31161,374.75,21.68,9.16,0.62,0.0,2020-01-03 14:00:00
0.41513,500.83,15.29,9.53,0.62,0.0,2020-01-03 15:00:00
0.22893,284.29,7.05,9.1,1.03,0.0,2020-01-03 16:00:00
0.0,0.0,0.0,7.79,0.97,0.0,2020-01-03 17:00:00
0.0,0.0,0.0,7.07,0.34,0.0,2020-01-03 18:00:00
0.0,0.0,0.0,4.63,0.76,0.0,2020-01-03 19:00:00
0.0,0.0,0.0,2.08,1.38,0.0,2020-01-03 20:00:00
0.0,0.0,0.0,1.17,1.66,0.0,2020-01-03 21:00:00
0.0,0.0,0.0,0.61,1.72,0.0,2020-01-03 22:00:00
0.0,0.0,0.0,0.63,1.72,0.0,2020-01-03 23:00:00
0.0,0.0,0.0,0.6,1.86,0.0,2020-01-04 00:00:00
0.0,0.0,0.0,0.55,1.86,0.0,2020-01-04 01:00:00
0.0,0.0,0.0,0.58,1.86,0.0,2020-01-04 02:00:00
0.0,0.0,0.0,0.72,1.86,0.0,2020-01-04 03:00:00
0.0,0.0,0.0,0.54,1.86,0.0,2020-01-04 04:00:00
0.0,0.0,0.0,0.33,1.86,0.0,2020-01-04 05:00:00
0.0,0.0,0.0,0.23,1.86,0.0,2020-01-04 06:00:00
0.0,0.0,0.0,-0.11,1.86,0.0,2020-01-04 07:00:00
0.16247,202.88,4.35,-0.14,1.86,0.0,2020-01-04 08:00:00
0.44067,508.03,13.04,1.43,1.72,0.0,2020-01-04 09:00:00
0.5945900000000001,698.51,20.07,4.21,1.72,0.0,2020-01-04 10:00:00
0.70861,853.59,24.84,6.8,1.93,0.0,2020-01-04 11:00:00
0.74871,908.76,26.83,8.61,2.48,0.0,2020-01-04 12:00:00
0.7345499999999999,886.15,25.78,9.82,3.24,0.0,2020-01-04 13:00:00
0.6350800000000001,759.4,21.82,10.37,3.24,0.0,2020-01-04 14:00:00
0.46588,553.08,15.43,10.46,3.1,0.0,2020-01-04 15:00:00
0.2662,327.27,7.19,9.85,2.41,0.0,2020-01-04 16:00:00
0.0,0.0,0.0,8.02,2.28,0.0,2020-01-04 17:00:00
0.0,0.0,0.0,6.43,2.28,0.0,2020-01-04 18:00:00
0.0,0.0,0.0,5.77,2.07,0.0,2020-01-04 19:00:00
0.0,0.0,0.0,4.72,2.07,0.0,2020-01-04 20:00:00
0.0,0.0,0.0,3.94,2.07,0.0,2020-01-04 21:00:00
0.0,0.0,0.0,3.28,2.0,0.0,2020-01-04 22:00:00
0.0,0.0,0.0,2.73,1.93,0.0,2020-01-04 23:00:00
0.0,0.0,0.0,2.04,1.86,0.0,2020-01-05 00:00:00
0.0,0.0,0.0,1.4,1.72,0.0,2020-01-05 01:00:00
0.0,0.0,0.0,0.46,1.52,0.0,2020-01-05 02:00:00
0.0,0.0,0.0,-0.39,1.38,0.0,2020-01-05 03:00:00
0.0,0.0,0.0,-1.02,1.38,0.0,2020-01-05 04:00:00
0.0,0.0,0.0,-1.42,1.31,0.0,2020-01-05 05:00:00
0.0,0.0,0.0,-1.66,1.31,0.0,2020-01-05 06:00:00
0.0,0.0,0.0,-1.45,1.24,0.0,2020-01-05 07:00:00
0.16197999999999999,201.83,4.36,-1.35,1.17,0.0,2020-01-05 08:00:00
0.43289,503.42,13.07,1.14,0.69,0.0,2020-01-05 09:00:00
0.58043,694.88,20.12,4.75,0.55,0.0,2020-01-05 10:00:00
0.6833400000000001,844.5,24.92,7.36,0.55,0.0,2020-01-05 11:00:00
0.7185499999999999,906.25,26.94,9.3,0.48,0.0,2020-01-05 12:00:00
0.7042,891.87,25.9,10.69,0.48,0.0,2020-01-05 13:00:00
0.61718,771.57,21.95,11.6,0.48,0.0,2020-01-05 14:00:00
0.46076,565.53,15.57,11.88,0.48,0.0,2020-01-05 15:00:00
0.26571,331.71,7.34,11.36,0.83,0.0,2020-01-05 16:00:00
0.0,0.0,0.0,9.51,1.31,0.0,2020-01-05 17:00:00
0.0,0.0,0.0,8.21,0.9,0.0,2020-01-05 18:00:00
0.0,0.0,0.0,7.84,0.48,0.0,2020-01-05 19:00:00
0.0,0.0,0.0,6.94,0.76,0.0,2020-01-05 20:00:00
0.0,0.0,0.0,4.79,1.17,0.0,2020-01-05 21:00:00
0.0,0.0,0.0,3.22,1.38,0.0,2020-01-05 22:00:00
0.0,0.0,0.0,2.38,1.59,0.0,2020-01-05 23:00:00
0.0,0.0,0.0,1.76,1.66,0.0,2020-01-06 00:00:00
0.0,0.0,0.0,0.83,1.79,0.0,2020-01-06 01:00:00
0.0,0.0,0.0,0.32,1.79,0.0,2020-01-06 02:00:00
0.0,0.0,0.0,0.13,1.72,0.0,2020-01-06 03:00:00
0.0,0.0,0.0,0.13,1.66,0.0,2020-01-06 04:00:00
0.0,0.0,0.0,0.45,1.45,0.0,2020-01-06 05:00:00
0.0,0.0,0.0,0.64,1.38,0.0,2020-01-06 06:00:00
0.0,0.0,0.0,-0.11,1.38,0.0,2020-01-06 07:00:00
0.14842,187.18,4.38,-0.11,1.45,0.0,2020-01-06 08:00:00
0.42542,494.34,13.11,1.67,0.97,0.0,2020-01-06 09:00:00
0.57959,696.75,20.18,5.05,0.41,0.0,2020-01-06 10:00:00
0.6780900000000001,839.47,25.01,7.53,0.48,0.0,2020-01-06 11:00:00
0.72466,911.46,27.05,9.2,0.62,0.0,2020-01-06 12:00:00
0.7018,882.31,26.03,10.35,0.69,0.0,2020-01-06 13:00:00
0.62125,770.49,22.1,11.03,0.76,0.0,2020-01-06 14:00:00
0.4678,569.58,15.72,11.13,0.83,0.0,2020-01-06 15:00:00
0.26609,330.27,7.49,10.47,0.97,0.0,2020-01-06 16:00:00
0.0,0.0,0.0,8.74,0.69,0.0,2020-01-06 17:00:00
0.0,0.0,0.0,8.53,0.21,0.0,2020-01-06 18:00:00
0.0,0.0,0.0,7.37,0.55,0.0,2020-01-06 19:00:00
0.0,0.0,0.0,5.5,1.03,0.0,2020-01-06 20:00:00
0.0,0.0,0.0,2.02,1.66,0.0,2020-01-06 21:00:00
0.0,0.0,0.0,0.65,1.72,0.0,2020-01-06 22:00:00
0.0,0.0,0.0,-0.14,1.52,0.0,2020-01-06 23:00:00
0.0,0.0,0.0,-0.76,1.38,0.0,2020-01-07 00:00:00
0.0,0.0,0.0,-1.22,1.38,0.0,2020-01-07 01:00:00
0.0,0.0,0.0,-1.54,1.31,0.0,2020-01-07 02:00:00
0.0,0.0,0.0,-1.66,1.38,0.0,2020-01-07 03:00:00
0.0,0.0,0.0,-1.7,1.45,0.0,2020-01-07 04:00:00
0.0,0.0,0.0,-1.68,1.45,0.0,2020-01-07 05:00:00
0.0,0.0,0.0,-1.71,1.45,0.0,2020-01-07 06:00:00
0.0,0.0,0.0,-2.14,1.31,0.0,2020-01-07 07:00:00
0.16144999999999998,200.73,4.4,-2.07,1.17,0.0,2020-01-07 08:00:00
0.44073,511.76,13.16,0.5,0.62,0.0,2020-01-07 09:00:00
0.58612,704.49,20.25,4.54,0.34,0.0,2020-01-07 10:00:00
0.67755,841.21,25.1,7.4,0.34,0.0,2020-01-07 11:00:00
0.7338899999999999,927.75,27.17,9.41,0.55,0.0,2020-01-07 12:00:00
0.73334,928.89,26.17,10.88,0.76,0.0,2020-01-07 13:00:00
0.61176,759.92,22.25,11.79,0.83,0.0,2020-01-07 14:00:00
0.47813,585.54,15.88,12.07,0.83,0.0,2020-01-07 15:00:00
0.28776,356.86,7.65,11.29,1.31,0.0,2020-01-07 16:00:00
0.0,0.0,0.0,9.39,1.45,0.0,2020-01-07 17:00:00
0.0,0.0,0.0,7.99,0.9,0.0,2020-01-07 18:00:00
0.0,0.0,0.0,7.52,0.62,0.0,2020-01-07 19:00:00
0.0,0.0,0.0,5.05,1.1,0.0,2020-01-07 20:00:00
