datetime,temperature_nasa,humidity,wind_speed_nasa,ghi
2020-01-01 00:00:00,4.15,63.83,0.95,0.0
2020-01-01 01:00:00,3.49,67.62,0.9,0.0
2020-01-01 02:00:00,2.87,71.66,0.97,0.0
2020-01-01 03:00:00,2.11,76.28,1.12,0.0
2020-01-01 04:00:00,1.34,80.38,1.31,0.0
2020-01-01 05:00:00,0.83,82.71,1.53,0.0
2020-01-01 06:00:00,0.46,83.8,1.75,0.0
2020-01-01 07:00:00,0.32,82.99,1.85,0.0
2020-01-01 08:00:00,2.17,76.68,1.61,100.72
2020-01-01 09:00:00,5.22,67.98,1.61,243.02
2020-01-01 10:00:00,7.13,60.18,0.76,367.42
2020-01-01 11:00:00,8.59,59.02,0.18,438.17
2020-01-01 12:00:00,10.16,57.04,0.57,458.77
2020-01-01 13:00:00,11.31,54.25,0.97,414.52
2020-01-01 14:00:00,11.52,55.24,1.15,313.92
2020-01-01 15:00:00,10.5,67.97,0.97,179.93
2020-01-01 16:00:00,8.67,65.52,1.02,36.75
2020-01-01 17:00:00,7.77,64.7,0.94,0.0
2020-01-01 18:00:00,7.33,65.24,0.73,0.0
2020-01-01 19:00:00,7.01,65.5,0.44,0.0
2020-01-01 20:00:00,6.61,66.4,0.17,0.0
2020-01-01 21:00:00,6.05,68.7,0.24,0.0
2020-01-01 22:00:00,5.37,72.18,0.44,0.0
2020-01-01 23:00:00,4.52,76.92,0.58,0.0
2020-01-02 00:00:00,3.72,81.72,0.61,0.0
2020-01-02 01:00:00,2.74,87.79,0.57,0.0
2020-01-02 02:00:00,2.04,92.07,0.56,0.0
2020-01-02 03:00:00,1.49,95.32,0.63,0.0
2020-01-02 04:00:00,1.2,96.42,0.74,0.0
2020-01-02 05:00:00,0.85,97.74,0.86,0.0
2020-01-02 06:00:00,0.57,97.63,0.93,0.0
2020-01-02 07:00:00,0.5,95.07,0.86,0.0
2020-01-02 08:00:00,1.29,89.62,0.99,99.05
2020-01-02 09:00:00,2.43,85.95,0.82,238.12
2020-01-02 10:00:00,3.89,80.33,0.47,354.92
2020-01-02 11:00:00,6.14,75.0,0.45,438.2
2020-01-02 12:00:00,8.52,66.49,1.06,456.83
2020-01-02 13:00:00,9.99,61.02,1.49,403.0
2020-01-02 14:00:00,10.34,61.13,1.6,308.55
2020-01-02 15:00:00,9.49,72.78,1.29,173.85
2020-01-02 16:00:00,7.03,77.23,1.41,34.47
2020-01-02 17:00:00,5.74,80.53,1.34,0.0
2020-01-02 18:00:00,5.75,80.66,1.15,0.0
2020-01-02 19:00:00,5.53,82.26,0.95,0.0
2020-01-02 20:00:00,5.32,83.47,0.82,0.0
2020-01-02 21:00:00,4.89,85.68,0.73,0.0
2020-01-02 22:00:00,4.44,88.44,0.67,0.0
2020-01-02 23:00:00,3.98,91.15,0.64,0.0
2020-01-03 00:00:00,3.36,94.83,0.8,0.0
2020-01-03 01:00:00,2.83,98.05,1.05,0.0
2020-01-03 02:00:00,2.38,100.0,1.24,0.0
2020-01-03 03:00:00,1.74,100.0,1.39,0.0
2020-01-03 04:00:00,0.87,100.0,1.57,0.0
2020-01-03 05:00:00,0.32,100.0,1.71,0.0
2020-01-03 06:00:00,0.23,100.0,1.82,0.0
2020-01-03 07:00:00,0.21,100.0,1.83,0.0
2020-01-03 08:00:00,1.39,99.04,1.94,67.4
2020-01-03 09:00:00,2.4,92.41,2.44,154.15
2020-01-03 10:00:00,3.4,88.05,2.23,213.38
2020-01-03 11:00:00,5.28,77.49,2.2,308.65
2020-01-03 12:00:00,6.76,70.81,2.05,307.98
2020-01-03 13:00:00,7.8,66.89,2.12,267.65
2020-01-03 14:00:00,8.28,66.37,2.29,198.12
2020-01-03 15:00:00,7.81,75.62,1.96,110.12
2020-01-03 16:00:00,5.35,82.55,1.78,25.35
2020-01-03 17:00:00,3.42,90.91,2.31,0.0
2020-01-03 18:00:00,1.99,99.83,2.79,0.0
2020-01-03 19:00:00,0.81,100.0,3.17,0.0
2020-01-03 20:00:00,0.47,100.0,3.42,0.0
2020-01-03 21:00:00,0.44,100.0,4.03,0.0
2020-01-03 22:00:00,0.53,100.0,4.66,0.0
2020-01-03 23:00:00,0.8,100.0,5.12,0.0
2020-01-04 00:00:00,1.05,99.15,5.19,0.0
2020-01-04 01:00:00,1.38,98.6,5.06,0.0
2020-01-04 02:00:00,1.54,99.01,4.76,0.0
2020-01-04 03:00:00,1.57,99.21,4.58,0.0
2020-01-04 04:00:00,1.49,99.54,4.42,0.0
2020-01-04 05:00:00,1.35,99.45,4.41,0.0
2020-01-04 06:00:00,1.02,99.8,4.37,0.0
2020-01-04 07:00:00,0.67,99.32,4.56,0.0
2020-01-04 08:00:00,1.41,94.88,4.88,103.45
2020-01-04 09:00:00,3.55,84.17,5.26,244.35
2020-01-04 10:00:00,6.19,71.43,5.69,360.83
2020-01-04 11:00:00,8.34,60.92,5.67,430.6
2020-01-04 12:00:00,9.74,54.62,5.58,462.75
2020-01-04 13:00:00,10.5,52.46,5.6,422.42
2020-01-04 14:00:00,10.68,53.1,5.49,327.62
2020-01-04 15:00:00,9.87,60.24,4.09,188.18
2020-01-04 16:00:00,6.14,80.06,3.02,41.47
2020-01-04 17:00:00,4.01,84.97,3.51,0.0
2020-01-04 18:00:00,3.48,87.47,3.75,0.0
2020-01-04 19:00:00,2.96,90.17,4.1,0.0
2020-01-04 20:00:00,2.34,94.03,4.36,0.0
2020-01-04 21:00:00,1.64,99.28,4.29,0.0
2020-01-04 22:00:00,1.01,100.0,4.22,0.0
2020-01-04 23:00:00,0.43,100.0,4.22,0.0
2020-01-05 00:00:00,0.21,100.0,4.41,0.0
2020-01-05 01:00:00,0.08,100.0,4.5,0.0
